id,nome,email,cpf,telefone,dt_criacao,is_deleted
19,Caroline Pinto,yurigomes@example.com,504.398.627-10,5507182375806,2006-01-14 12:09:28.358311,True
20,Cauã Moreira,fernandeslorenzo@example.net,098.325.476-10,04188457361,2011-04-12 23:53:41.935345,True
21,Marina Moraes,leandro45@example.org,453.298.761-09,3198547956,1978-04-11 11:33:13.896810,True
22,Maria Cecília Viana,vitoriaalmeida@example.com,975.681.432-28,5504158146550,1994-01-16 03:20:26.125417,True
23,Dra. Stella Oliveira,sfreitas@example.org,367.984.501-48,01133178122,1993-12-04 11:35:17.204579,False
24,Sr. Caio Lima,lais37@example.com,903.541.687-20,5504156705680,1981-06-03 15:39:43.151396,False
25,Srta. Raquel Silva,cavalcantisophie@example.com,087.415.293-32,8462661744,2004-03-08 21:58:57.124150,False
26,Joana Nunes,novaesvitor-gabriel@example.com,215.360.784-17,551148978388,2016-10-19 20:31:32.980408,True
27,Ian Araújo,pcardoso@example.com,516.327.908-40,02169478735,1985-11-11 06:37:31.995491,False
28,Dr. Augusto Nascimento,eduardoda-mata@example.org,097.428.631-13,7181496588,2014-10-18 18:38:53.723553,False
29,Nicole Viana,isabel53@example.net,180.572.649-85,05002757291,2002-02-18 00:51:18.225168,False
30,Dra. Isabel Caldeira,rfarias@example.com,934.752.168-09,01179070536,2013-09-26 18:48:05.878823,True
31,Fernando Lima,moreirajoao-miguel@example.org,961.802.734-13,557199888120,2024-01-29 18:06:54.007394,False
32,Heitor Pereira,luiza02@example.com,973.052.846-29,08465577023,1971-09-07 14:48:24.476223,True
33,Marcos Vinicius da Cunha,danieldias@example.com,076.594.281-01,7162590984,1977-12-25 02:12:26.585382,True
34,Maria Vitória da Mata,fernando20@example.org,402.186.937-96,09008599284,1977-10-16 06:28:31.379640,True
35,Sra. Maria Fernanda Ferreira,emanuellysantos@example.org,503.749.186-00,553156949257,1998-04-21 08:39:59.732860,False
36,Fernando Pinto,silvaluiz-fernando@example.net,547.186.029-20,1154281078,1985-08-31 23:51:42.247766,True
37,Ana Júlia Jesus,sophia34@example.net,465.827.103-62,3126275701,2011-11-23 01:54:38.417379,False
38,Rafael Pires,heitorbarros@example.com,134.689.052-89,5507191186738,1971-04-16 20:10:44.537980,True
39,Raquel da Conceição,beatriz33@example.com,127.905.648-76,03002962443,1977-02-25 02:24:30.979020,True
40,Bárbara Martins,souzaana-vitoria@example.net,712.056.984-85,5508137219628,1980-07-07 06:38:36.936002,True
41,Sra. Ana Vitória Teixeira,thales31@example.org,840.539.271-88,5503110481255,1972-12-24 15:02:49.783434,False
42,Agatha Cunha,pnunes@example.com,587.913.460-10,5503128925709,2008-02-16 03:37:00.105543,False
43,Cauê Ferreira,ferreiraalexia@example.net,592.810.673-40,8481407922,2000-01-07 10:17:03.501344,False
44,Srta. Agatha Pereira,ana62@example.org,540.386.712-08,08494805002,2003-10-03 17:17:56.835150,True
45,Pietra Moreira,joanabarros@example.net,287.195.360-03,07179994358,1980-08-29 15:37:32.088684,True
46,Sr. Samuel Ferreira,diogo18@example.com,671.894.530-75,05003630402,2020-12-25 19:51:31.713515,True
47,Sr. Gabriel Viana,ada-luz@example.com,259.068.743-56,557142239546,1983-04-14 18:03:37.688293,False
48,Ana Laura Nogueira,isabelda-costa@example.org,876.592.410-01,556129198354,1991-09-12 14:50:29.095003,False
49,Eduardo Barros,catarinada-costa@example.com,379.642.015-06,05008166296,2000-04-28 19:36:26.423316,True
50,Mirella Novaes,thomas85@example.net,530.719.682-21,5506122975344,2013-10-13 04:27:27.134769,True
51,Beatriz da Rosa,rezendeamanda@example.net,846.392.510-33,551165297115,1997-04-27 21:07:39.832614,False
52,Srta. Cecília Rocha,mariajesus@example.org,876.304.521-44,556191482075,2010-07-24 06:02:07.702914,False
53,Bernardo Azevedo,dcosta@example.com,780.139.452-60,5501190942518,1974-12-31 00:25:05.664813,True
54,Maria Alice Barbosa,gabriela19@example.net,601.428.735-35,05151823534,1989-06-23 20:12:03.931915,False
55,Dr. Eduardo Souza,cavalcantibruna@example.net,941.760.352-34,05001042914,1981-05-17 03:08:13.706551,True
56,Juan Freitas,esouza@example.com,014.396.728-22,556109324885,1984-10-20 21:13:44.593464,False
57,Maria Julia Gomes,beniciocavalcanti@example.net,682.170.943-22,5503118968791,2005-12-14 14:59:20.902323,False
58,Srta. Sophie Gomes,emanuellacostela@example.com,681.427.309-87,553191638606,1995-02-06 13:20:13.063823,False
59,Alana Costela,caldeiralorenzo@example.org,265.073.489-29,551164467136,1994-09-15 19:05:01.575371,False
60,Samuel Viana,bruna66@example.org,402.653.891-51,8454321154,2022-07-04 19:16:38.479692,False
61,Marcelo Vieira,santosmariane@example.com,630.142.958-33,555162666288,1977-08-21 10:40:58.931300,False
62,Dr. Lorenzo Araújo,isabellada-rocha@example.net,167.350.982-77,4111565345,1977-10-01 22:11:08.691785,True
63,Cauê Nascimento,fariasmiguel@example.com,853.940.617-93,557109508804,2018-10-03 18:55:54.235179,False
64,Srta. Isabelly da Mota,vieiraluiz-miguel@example.com,874.061.359-39,5501136987225,2001-07-25 00:17:56.980257,False
65,Alícia Farias,xcaldeira@example.org,187.534.269-91,5508465335044,2014-09-22 01:38:36.670670,False
66,Kevin Cunha,araujomariane@example.org,817.459.062-58,5507169143217,1984-07-05 21:33:05.846651,False
67,Bárbara da Cunha,ferreiraana-livia@example.org,406.512.379-80,05114059880,1978-09-10 07:39:25.224329,False
68,Dra. Marina Oliveira,tda-cruz@example.org,985.217.034-14,09006036999,1991-02-13 13:26:23.593025,True
69,Emanuel Nascimento,llopes@example.org,970.156.238-03,7168537276,1986-03-01 22:06:25.774269,False
70,João Melo,paragao@example.org,739.164.852-37,4140299778,1994-05-11 03:58:52.873552,True
71,Henrique Araújo,silvajoaquim@example.net,362.170.584-80,555172074953,2001-03-09 21:09:37.718328,False
72,Dr. Heitor Moura,alanacavalcanti@example.com,265.947.831-73,09003642246,1993-09-15 13:33:36.402321,False
73,Dr. Erick Melo,castrobenjamin@example.com,062.851.479-49,553185120864,1996-04-28 18:07:18.180275,True
74,Calebe da Luz,correiaenrico@example.net,417.063.285-08,7111517060,1998-07-09 06:45:36.465385,True
75,Benjamin Farias,maria-fernanda73@example.org,278.630.951-40,03172016944,1979-03-05 22:48:52.680127,False
76,Stephany Freitas,alvesana-carolina@example.net,370.981.256-95,5504163500840,2015-09-17 09:00:17.428806,False
77,Dr. Breno Carvalho,aaraujo@example.org,209.645.783-10,1149290747,1992-09-14 06:45:56.863649,True
78,Davi Lucas Nogueira,lorenzo40@example.com,085.734.296-74,03116704156,2013-11-25 03:31:00.457244,True
79,Raquel Lopes,gabriellyfogaca@example.org,401.923.657-70,01161378442,2000-08-24 14:09:14.609919,False
80,Thiago Dias,vitor-gabriellopes@example.net,476.310.928-69,02177095688,1978-06-03 03:23:05.865937,False
81,Sr. Murilo das Neves,vitor32@example.net,972.145.068-58,555116925883,2016-02-07 06:29:13.059657,True
82,Raul da Conceição,carlos-eduardo02@example.net,251.839.076-68,09008598587,2023-11-04 07:35:24.480915,True
83,Rafael Silveira,silveirasarah@example.org,209.184.357-14,556191538606,1975-09-30 13:55:04.671157,True
84,Eduarda Rezende,jda-luz@example.net,908.256.371-12,553129790260,1990-09-05 01:40:49.987712,False
85,Carolina Mendes,duarteluiza@example.net,605.389.214-98,5503197739078,2007-12-28 15:18:53.847486,True
86,Sophia Novaes,yasmincunha@example.com,764.932.185-19,5504186849685,1981-06-21 07:48:49.295780,True
87,Sr. Igor Martins,xsantos@example.com,516.392.708-68,558493356953,1976-07-23 12:20:34.837985,True
88,Luiza Moura,isabelly87@example.net,143.067.295-16,5505143221811,1985-03-04 14:02:14.959110,True
89,Eduarda Rocha,da-rochacarolina@example.com,381.745.260-80,8137878700,1972-04-17 06:40:42.885146,True
90,Brenda Cavalcanti,davi-luiz22@example.com,937.168.205-12,05004905715,1996-04-07 16:02:38.864064,True
91,Manuela Costa,pauloaraujo@example.org,107.493.562-43,03149199485,1983-03-05 01:05:52.566157,True
92,Dra. Clarice da Luz,stephanyduarte@example.com,539.621.408-24,06131213252,1988-01-31 05:02:13.467480,True
93,Kaique da Conceição,andre49@example.com,789.106.345-10,03001301754,2001-08-23 08:32:07.948699,True
94,Ana Sophia Cardoso,maria-clara24@example.net,672.039.451-70,558492376382,1996-05-09 16:39:30.899454,False
95,Isaac Oliveira,salesvitor@example.org,018.563.974-75,03007762319,1986-07-30 22:30:44.326100,True
96,Ana da Cunha,pda-paz@example.org,396.270.518-02,5501119821295,2013-06-08 18:49:14.833533,True
97,Alexandre Cardoso,eduardosilva@example.org,843.069.271-13,05004594845,1983-12-24 03:28:28.490416,False
98,Sr. Joaquim Vieira,rodriguescamila@example.org,369.284.107-87,5501106636353,1993-06-05 13:08:10.920506,True
99,Gabriela Dias,levi20@example.org,295.730.468-65,5146845148,2018-08-04 01:23:32.485649,False
100,Davi Lucas Nunes,ana-sophia91@example.org,409.728.651-01,5184919074,2010-05-22 16:26:50.686933,False
